date,TweetId,Tweet,created_at,geo,place,coordinates,location
2020-12-15  23:45,1338978572925628416,@PeachYoonfi and im in lword with u,2020-12-15 22:45:43,,,,she/her
2020-12-15  23:45,1338978572917149698,@dilahilaaa seriously!!,2020-12-15 22:45:43,,,,    she/her ☾ minor
2020-12-15  23:45,1338978572913045506,#EijazKhan needs to clear the air with #AlyGoni  (and as much as I think she’s a brat) #JasminBhasin  because he lo… https://t.co/WjHZxK9YF5,2020-12-15 22:45:43,,Bolton,,Greater Manchester
2020-12-15  23:45,1338978572887678976,RT @roseyarchive: GODDESS #ROSÉatYSLSummer21 https://t.co/wEND3Is5fD,2020-12-15 22:45:43,,,,
2020-12-15  23:45,1338978572862558208,i don’t know im scared,2020-12-15 22:45:43,,,,hell 
2020-12-15  23:45,1338978572850098177,I'm a normal person 。,2020-12-15 22:45:43,,,,
2020-12-15  23:45,1338978572841742337,RT @Rosemvmt: Raise your hand if you’re ready and willing to thwart Pete Buttigieg’s presidential ambitions,2020-12-15 22:45:43,,,,"California, USA"
2020-12-15  23:45,1338978572829134850,@MinnetonkaTwin He should have yelled louder,2020-12-15 22:45:43,,,,Massachusetts
2020-12-15  23:45,1338978572812206080,(but only if you’re 18+ 🔫),2020-12-15 22:45:43,,,,los angeles
2020-12-15  23:45,1338978572803977219,RT @RE_DailyMail: William and Kate read rewritten Twas The Night Before Christmas poem in moving tribute to key workers  | Daily Mail Onlin…,2020-12-15 22:45:43,,,,Isle of Wight
2020-12-15  23:45,1338978572803903492,"RT @TransformScot: This consultation closes tomorrow (16 December).

The Wellington Road options contain potentially quite significant impr…",2020-12-15 22:45:43,,,,"Manchester, England"
2020-12-15  23:45,1338978572799709187,RT @linoscent: when i tell you chan and minho would do it all for felix https://t.co/kenRGLwzoP,2020-12-15 22:45:43,,,,beomgyu ♡
2020-12-15  23:45,1338978572787200000,@sarina_ylz mince,2020-12-15 22:45:43,,,,Santo antão 
2020-12-15  23:45,1338978572787191809,"i dont even like texting fr, come get me lol ..",2020-12-15 22:45:43,,,,
2020-12-15  23:45,1338978572782931968,@hoonswaeg Belift big brain,2020-12-15 22:45:43,,,,Hanbin’s heart
2020-12-15  23:45,1338978572778672129,@JackRhysider @1tchyBa11z I would consider them the Reddest team,2020-12-15 22:45:43,,,,
